URL,Size(Bytes),# of Outlinks,Content-Type
https://www.nytimes.com/,692777,218,text/html
https://www.nytimes.com/2024/02/18/us/police-shooting-burnsville-minnesota.html,241414,120,text/html
https://www.nytimes.com/2024/02/14/arts/music/beyonce-oklahoma-radio-station.html,263093,132,text/html
https://www.nytimes.com/2024/02/18/us/chinese-ballot-names-san-francisco.html,269984,122,text/html
https://www.nytimes.com/1987/09/21/style/in-china-the-right-name-can-mean-the-good-life.html,228394,122,text/html
https://www.nytimes.com/subscription/cooking.html,85798,24,text/html
https://www.nytimes.com/2023/08/07/arts/music/rhiannon-giddens-youre-the-one.html,271520,136,text/html
https://www.nytimes.com/2024/02/18/opinion/magas-violent-threats-are-warping-life-in-america.html,281556,139,text/html
https://www.nytimes.com/2015/06/09/nyregion/kalief-browder-held-at-rikers-island-for-3-years-without-trial-commits-suicide.html,230959,119,text/html
https://www.nytimes.com/2016/11/04/arts/music/beyonce-cma-awards-backlash.html,243216,136,text/html
https://www.nytimes.com/2024/02/14/arts/music/greatest-night-in-pop-80s-netflix.html,283156,133,text/html
https://www.nytimes.com/2023/06/27/magazine/learn-chinese-calligraphy.html,249391,114,text/html
https://www.nytimes.com/2024/02/11/arts/music/beyonce-super-bowl-act-ii-country-album.html,245630,131,text/html
https://www.nytimes.com/2020/09/22/books/review/divided-we-fall-david-french.html,260791,139,text/html
https://www.nytimes.com/2024/02/01/us/politics/super-tuesday-when-states.html,275980,134,text/html
https://www.nytimes.com/2024/02/09/us/politics/witnesses-trump-classified-documents-case.html,284324,142,text/html
https://www.nytimes.com/2019/08/15/arts/music/raphael-saadiq-jimmy-lee.html,293773,129,text/html
https://www.nytimes.com/2019/04/05/business/media/lil-nas-x-billy-ray-cyrus-billboard.html,265792,127,text/html
https://www.nytimes.com/interactive/2023/05/11/opinion/connie-chung-named-after.html,144271,51,text/html
https://www.nytimes.com/2024/02/14/movies/madame-web-review-dakota-johnson.html,333791,172,text/html
https://www.nytimes.com/2024/02/14/movies/bob-marley-one-love-review.html,330034,166,text/html
https://www.nytimes.com/interactive/2024/us/elections/republican-primary-delegates-tracker-calendar.html,435697,159,text/html
https://www.nytimes.com/2022/07/29/arts/music/beyonce-renaissance.html,269480,135,text/html
https://www.nytimes.com/2023/04/23/opinion/guns-shootings-stand-your-ground.html,273628,139,text/html
https://www.nytimes.com/interactive/2023/us/politics/presidential-candidates-2024.html,1048576,34,text/html
https://www.nytimes.com/2024/02/15/movies/monolith-review.html,275549,139,text/html
https://www.nytimes.com/2024/01/28/us/politics/trump-biden-general-election.html,318259,137,text/html
https://www.nytimes.com/interactive/2023/02/21/opinion/asian-americans-focus-group.html,351712,136,text/html
https://www.nytimes.com/2024/01/31/arts/television/feud-capote-vs-the-swans-review.html,262167,122,text/html
https://www.nytimes.com/interactive/2024/02/16/briefing/news-quiz-congress-israel.html,233125,118,text/html
https://www.nytimes.com/2024/02/08/movies/the-taste-of-things-review.html,342357,160,text/html
https://www.nytimes.com/es/2024/02/05/espanol/supertuesday-que-es.html,240636,118,text/html
https://www.nytimes.com/2023/06/01/movies/spider-man-across-the-spider-verse-review.html,310335,141,text/html
https://www.nytimes.com/2022/06/08/us/brett-kavanaugh-threat-arrest.html,275737,125,text/html
https://www.nytimes.com/2024/02/15/movies/onlookers-review.html,247673,120,text/html
https://www.nytimes.com/2024/02/13/books/review/new-romance-books.html,288235,127,text/html
https://www.nytimes.com/2024/02/13/movies/players-review.html,330915,173,text/html
https://www.nytimes.com/article/trump-investigations-civil-criminal.html,321529,149,text/html
https://www.nytimes.com/2024/02/08/movies/lisa-frankenstein-review.html,326169,161,text/html
https://www.nytimes.com/interactive/2023/05/11/opinion/connie-chung-named-after-cn.html,137433,49,text/html
https://www.nytimes.com/2024/01/29/books/review/new-books-february.html,327023,143,text/html
https://www.nytimes.com/2024/02/13/movies/upgraded-review.html,275787,138,text/html
https://www.nytimes.com/2019/01/31/opinion/letters/letters-to-editor-new-york-times-women.html,243754,120,text/html
https://www.nytimes.com/2024/02/18/realestate/trump-condos-prices-nyc.html,319714,128,text/html
https://www.nytimes.com/2023/04/14/us/politics/mike-pompeo-president-2024.html,269898,140,text/html
https://www.nytimes.com/2016/02/26/movies/gods-of-egypt-review.html,329106,139,text/html
https://www.nytimes.com/2024/02/16/us/politics/manchin-presidential-run.html,263532,141,text/html
https://www.nytimes.com/2020/07/22/us/portland-protests-courthouse.html,247556,135,text/html
https://www.nytimes.com/interactive/2021/09/25/us/asian-americans.html,250048,129,text/html
https://www.nytimes.com/2024/01/29/movies/the-greatest-night-in-pop-review.html,255316,121,text/html
https://www.nytimes.com/2024/02/18/us/politics/kamala-harris-ukraine-munich.html,299455,135,text/html
https://www.nytimes.com/2018/10/17/nyregion/trump-place-sign-condo-manhattan.html,241058,116,text/html
https://www.nytimes.com/2017/09/16/us/supreme-court-baker-same-sex-marriage.html,280991,131,text/html
https://www.nytimes.com/es/interactive/2023/espanol/elecciones-2024-usa-candidatos.html,1048576,31,text/html
https://www.nytimes.com/2024/02/15/movies/god-country-review.html,250824,117,text/html
https://www.nytimes.com/2024/02/17/us/politics/how-two-first-ladies-weathered-a-most-unusual-presidential-transition.html,272359,118,text/html
https://www.nytimes.com/2023/03/05/us/politics/larry-hogan-president-not-running.html,266941,134,text/html
https://www.nytimes.com/2024/02/09/us/politics/senate-house-republicans.html,307120,130,text/html
https://www.nytimes.com/1983/08/07/business/the-empire-and-ego-of-donald-trump.html,294054,116,text/html
https://www.nytimes.com/2024/02/14/theater/lucy-moss-toby-marlow-six-why-am-i-so-single.html,266999,124,text/html
https://www.nytimes.com/2005/09/25/realestate/the-real-estate-queen-in-her-hive.html,230879,120,text/html
https://www.nytimes.com/2024/02/16/world/europe/aleksei-navalny-dead.html,402597,151,text/html
https://www.nytimes.com/article/best-books.html,396795,211,text/html
https://www.nytimes.com/2023/06/05/us/politics/chris-sununu-wont-run-president-2024.html,267791,137,text/html
https://www.nytimes.com/2014/10/10/movies/dracula-untold-in-which-prince-vlad-battles-the-turks.html,268722,138,text/html
https://www.nytimes.com/interactive/2024/02/18/magazine/marilynne-robinson-interview.html,226357,131,text/html
https://www.nytimes.com/interactive/2023/08/15/us/politics/trump-georgia-indictment-annotated.html,326949,251,text/html
https://www.nytimes.com/interactive/2023/11/21/books/notable-books.html,458511,625,text/html
https://www.nytimes.com/2024/02/17/world/europe/ukraine-avdiivka-withdraw-despair.html,353586,147,text/html
https://www.nytimes.com/2024/02/16/nyregion/trump-civil-fraud-trial-ruling.html,374768,138,text/html
https://www.nytimes.com/2024/02/18/movies/baftas-winners-2024-oppenheimer.html,287800,129,text/html
https://www.nytimes.com/1984/04/08/magazine/the-expanding-empire-of-donald-trump.html,324773,116,text/html
https://www.nytimes.com/2024/02/10/us/politics/trump-nato-russia.html,256372,133,text/html
https://www.nytimes.com/interactive/2023/06/09/us/trump-indictment-document-annotated.html,289298,217,text/html
https://www.nytimes.com/2024/01/28/nyregion/donald-trump-finances-carroll-trial.html,300122,125,text/html
https://www.nytimes.com/2024/02/18/business/economy/natural-assets.html,281997,136,text/html
https://www.nytimes.com/2017/07/09/movies/spider-man-homecoming-box-office.html,281466,147,text/html
https://www.nytimes.com/2024/02/18/dining/sprightly-speedy-chicken-saltimbocca.html,283185,140,text/html
https://www.nytimes.com/2023/08/16/us/politics/woman-arrested-death-threat-judge-chutkan.html,257578,123,text/html
https://www.nytimes.com/2024/02/12/us/politics/senate-ukraine-aid.html,364457,131,text/html
https://www.nytimes.com/2021/03/29/us/politics/mike-pompeo-2024.html,265318,138,text/html
https://www.nytimes.com/2018/03/13/us/politics/pompeo-cia-trump-secretary-of-state.html,284664,118,text/html
https://www.nytimes.com/2023/02/18/world/europe/chinese-official-us-balloon-response-ukraine-war.html,296527,143,text/html
https://www.nytimes.com/2024/02/08/us/biden-documents-investigation-report-takeaways.html,293627,129,text/html
https://www.nytimes.com/2022/09/21/nyregion/trump-fraud-lawsuit-ny.html,282278,128,text/html
https://www.nytimes.com/2024/02/13/movies/the-space-race-review.html,263927,128,text/html
https://www.nytimes.com/2024/02/04/world/middleeast/gaza-photos-israel-war.html,332359,143,text/html
https://www.nytimes.com/2023/07/19/nyregion/trump-hush-money-case-court.html,273102,135,text/html
https://www.nytimes.com/2023/12/08/us/politics/trump-gag-order-election-case.html,279005,126,text/html
https://www.nytimes.com/2024/02/14/us/politics/house-republicans-congress-suozzi.html,276247,124,text/html
https://www.nytimes.com/2020/05/16/us/politics/linick-investigation-pompeo.html,393423,145,text/html
https://www.nytimes.com/interactive/2023/us/trump-investigations-charges-indictments.html,215231,136,text/html
https://www.nytimes.com/2021/01/18/us/politics/mike-pompeo-secretary-of-state.html,305320,168,text/html
https://www.nytimes.com/2024/02/17/world/europe/zelensky-ukraine-russia.html,295683,146,text/html
https://www.nytimes.com/2023/07/30/us/politics/trump-documents-de-oliveira-nauta.html,301344,137,text/html
https://www.nytimes.com/2021/01/03/us/politics/trump-georgia-call-excerpts.html,265263,119,text/html
https://www.nytimes.com/2022/03/31/movies/morbius-review.html,294651,142,text/html
https://www.nytimes.com/2024/02/18/nyregion/rikers-island-authors.html,283128,125,text/html
https://www.nytimes.com/2023/04/13/nyregion/trump-letitia-james-deposition.html,289733,125,text/html
https://www.nytimes.com/2023/07/21/us/judge-cannon.html,319834,137,text/html
https://www.nytimes.com/2024/02/14/us/politics/mayorkas-impeachment-trial.html,267209,125,text/html
https://www.nytimes.com/2020/05/20/us/politics/mike-pompeo-state-inspector-general.html,349719,143,text/html
https://www.nytimes.com/2024/02/17/opinion/navalny-death-putin.html,264169,130,text/html
https://www.nytimes.com/2021/04/16/us/mike-pompeo-state-department-report.html,241515,123,text/html
https://www.nytimes.com/2022/02/19/world/europe/kamala-harris-ukraine-russia.html,262065,118,text/html
https://www.nytimes.com/2023/10/22/us/politics/anthony-pratt-donald-trump.html,335765,146,text/html
https://www.nytimes.com/2023/06/09/us/politics/trump-indictment-charges-classified-documents.html,297595,143,text/html
https://www.nytimes.com/2024/02/18/opinion/redeeming-cans-bottles.html,247828,127,text/html
https://www.nytimes.com/2015/10/23/movies/review-the-last-witch-hunter-holding-a-grudge-for-800-years.html,262953,135,text/html
https://www.nytimes.com/2024/02/12/us/politics/supreme-court-trump-immunity.html,292121,127,text/html
https://www.nytimes.com/2024/02/06/us/politics/trump-immunity-appeals-court.html,285328,129,text/html
https://www.nytimes.com/2024/02/15/us/politics/kamala-harris-munich.html,250064,123,text/html
https://www.nytimes.com/2024/02/09/us/politics/larry-hogan-senate-maryland.html,245398,129,text/html
https://www.nytimes.com/2024/02/18/opinion/long-covid-research-funding.html,283460,133,text/html
https://www.nytimes.com/2023/05/19/us/politics/no-labels-president-manchin.html,301020,139,text/html
https://www.nytimes.com/2024/02/13/us/politics/ukraine-aid-bill-house.html,289745,131,text/html
https://www.nytimes.com/2024/02/12/us/politics/trump-classified-documents-hearing.html,263304,136,text/html
https://www.nytimes.com/2023/11/10/us/politics/trump-documents-trial-date.html,275409,137,text/html
https://www.nytimes.com/2024/02/15/movies/land-of-bad-review.html,276929,138,text/html
https://www.nytimes.com/2024/02/18/us/border-migrant-crisis-arizona.html,408392,119,text/html
https://www.nytimes.com/2023/09/09/us/politics/yuscil-taveras-trump-documents-case.html,308519,140,text/html
https://www.nytimes.com/article/trump-classified-documents-evidence.html,301769,142,text/html
https://www.nytimes.com/2024/02/16/world/europe/aleksei-navalny-wife-munich.html,282173,135,text/html
https://www.nytimes.com/2024/01/14/us/politics/nikki-haley-larry-hogan.html,249431,140,text/html
https://www.nytimes.com/2024/02/15/books/ed-zwick-by-the-book-interview.html,249176,132,text/html
https://www.nytimes.com/2024/02/13/us/politics/congress-discharge-petition-ukraine.html,266019,132,text/html
https://www.nytimes.com/2018/10/15/t-magazine/solange-interview.html,338523,158,text/html
https://www.nytimes.com/2023/12/13/us/politics/trump-immunity-decision-election-case.html,271000,125,text/html
https://www.nytimes.com/2024/02/18/opinion/israel-gaza-palestine-decolonization.html,294794,129,text/html
https://www.nytimes.com/2021/01/14/movies/one-night-in-miami-review.html,355862,136,text/html
https://www.nytimes.com/2020/02/01/us/politics/joe-jill-biden-2020.html,310491,138,text/html
https://www.nytimes.com/2018/09/12/nyregion/trump-golf-links-ferry-point-central-park-carousel-ice-rink.html,263092,122,text/html
https://www.nytimes.com/interactive/2023/08/18/us/politics/republican-candidates-2024-issues.html,232639,179,text/html
https://www.nytimes.com/interactive/2022/12/15/opinion/yellowstone-tv-focus-group.html,370892,135,text/html
https://www.nytimes.com/2024/01/21/books/review/the-rebels-clinic-adam-shatz-frantz-fanon.html,295753,135,text/html
https://www.nytimes.com/2021/01/20/us/politics/jill-biden-first-lady.html,250720,132,text/html
https://www.nytimes.com/2022/04/28/us/politics/trump-michigan-republican-party.html,290299,132,text/html
https://www.nytimes.com/interactive/2024/02/08/us/elections/results-nevada-republican-caucus.html,280330,220,text/html
https://www.nytimes.com/interactive/2024/01/15/us/elections/results-iowa-caucus.html,525378,222,text/html
https://www.nytimes.com/interactive/2024/01/04/us/january-6-capitol-trump-investigation.html,289861,134,text/html
https://www.nytimes.com/2022/06/12/theater/tony-award-winners.html,273178,127,text/html
https://www.nytimes.com/2020/08/22/world/europe/aleksei-navalny-germany.html,352813,139,text/html
https://www.nytimes.com/interactive/2023/02/09/opinion/transgender-americans-focus-group.html,354466,140,text/html
https://www.nytimes.com/2023/12/19/world/europe/navalny-missing-russia-putin.html,283930,141,text/html
https://www.nytimes.com/2024/02/11/movies/robert-downey-jr-christopher-nolan-oppenheimer.html,315297,132,text/html
https://www.nytimes.com/2023/11/01/us/trump-documents-trial-judge.html,283997,137,text/html
https://www.nytimes.com/interactive/2024/01/23/us/elections/results-new-hampshire-republican-primary.html,872766,223,text/html
https://www.nytimes.com/2024/02/16/opinion/trump-biden-presidential-fitness.html,463695,148,text/html
https://www.nytimes.com/2023/05/31/nyregion/trump-trial-judge-juan-merchan.html,268085,134,text/html
https://www.nytimes.com/2024/01/07/movies/golden-globes-winners-list.html,296843,123,text/html
https://www.nytimes.com/2011/03/28/business/global/28investor.html,232856,118,text/html
https://www.nytimes.com/2024/02/15/business/chocolate-chip-ice-cream.html,239062,115,text/html
https://www.nytimes.com/interactive/2024/02/01/magazine/israel-founding-palestinian-conflict.html,480771,161,text/html
https://www.nytimes.com/interactive/2023/01/12/opinion/republican-focus-group.html,343065,136,text/html
https://www.nytimes.com/2020/12/23/world/europe/russia-navalny-poisoning.html,289223,138,text/html
https://www.nytimes.com/2023/12/07/movies/poor-things-review.html,303734,117,text/html
https://www.nytimes.com/2023/04/04/nyregion/trump-arraignment-felony-charges.html,343529,140,text/html
https://www.nytimes.com/2024/02/17/business/economy/the-great-compression.html,308278,147,text/html
https://www.nytimes.com/interactive/2023/08/14/us/politics/trump-georgia-indictment-key-players.html,256293,161,text/html
https://www.nytimes.com/2023/12/14/movies/the-zone-of-interest-review.html,300675,142,text/html
https://www.nytimes.com/2024/02/16/world/europe/aleksei-navalny-career-russia.html,282508,143,text/html
https://www.nytimes.com/interactive/2023/01/03/opinion/law-enforcement-focus-group.html,318630,136,text/html
https://www.nytimes.com/2019/07/29/world/europe/navalny-poison-russia.html,275648,134,text/html
https://www.nytimes.com/2023/10/19/movies/killers-of-the-flower-moon-review-martin-scorsese.html,365536,125,text/html
https://www.nytimes.com/2023/07/18/us/politics/michigan-attorney-general-charges-false-electors.html,256366,134,text/html
https://www.nytimes.com/interactive/2024/02/06/us/elections/results-nevada-republican-primary.html,285185,221,text/html
https://www.nytimes.com/2024/02/18/opinion/king-charles-british-health.html,256684,126,text/html
https://www.nytimes.com/2023/04/17/us/ralph-yarl-kansas-city-shooting.html,311813,127,text/html
https://www.nytimes.com/2023/10/12/movies/anatomy-of-a-fall-review.html,283957,135,text/html
https://www.nytimes.com/2019/10/09/world/europe/navalny-russia-foreign.html,247328,129,text/html
